id,question,options,answer
ee79dc86-193d-4f29-a296-6ecf67ac2c56-60857,1 অ্যাম্পিয়ার কারেন্ট হলো-,['1 Cs-2' '1 Cs-1' '1 C2s-1' '1 C2s-2'],B
761172f4-29cb-49d1-b371-98bd17906b1d-56252,প্রমাণ তীব্রতার ক্ষেত্রে -,"['কম্পাঙ্ক 1000Hz ও তীব্রতা 10-12wm-2'
 'কম্পাঙ্ক 100Hz ও তীব্রতা 10-12wm-2'
 'কম্পাঙ্ক 1000Hz ও তীব্রতা 10-10wm-2'
 'কম্পাঙ্ক 100Hz ও তীব্রতা 10-10wm-2']",A
c7c3a6bc-8f8c-4a92-8da6-865de107267d-67425,পারমাণবিক চুল্লী কত প্রকার?,['তিন প্রকার' 'চার প্রকার' 'পাঁচ প্রকার' 'ছয় প্রকার'],A
236db00e-7fa8-4d8f-8c64-55f774a20464-73547,কাজ পেতে অবশ্যই তাপ সরবরাহ করতে হবে- এটি পাওয়া যায়?,"['তাপগতিবিদ্যার ১ম সূত্র হতে' 'তাপগতিবিদ্যার ২য় সূত্র হতে'
 'তাপগতিবিদ্যার ৩য় সূত্র হতে' 'জুলের সূত্র হতে']",D
8b230b67-3d83-45a8-a808-c25d943f0a61-14371,3×10-3m ব্যাসার্ধবিশিষ্ট একটি সাবানের বুদবুদের পৃষ্ঠশক্তি কত হবে ? [ সাবান দ্রবণের পৃষ্ঠটান 20×10-3 Nm-1 ],['4.52 × 10-6 J' '5.83× 10-7 J' '3.52 × 10-5 J' '1.24 × 10-6 J'],A
cacdbbc0-1d30-41ae-bc03-c15a1b8f83fd-252,দুটি শোলার বলের প্রতিটির ভর 10−4kg যাদের সিল্কের সুতার সাহায্যে একই বিন্দু থেকে ঝুলানো হয়েছে। এরা পরস্পরকে বিকর্ষণ করে সাম্যাবস্থায় এলে প্রতিটি বল উলম্বের সাথে কত কোণ করবে? [ প্রতিটি শোলার বলের চার্জ 6×10−9C এবং সাম্যাবস্থায় দূরত্ব 0.04 m। ],['11.67o' '21.48o' '7.69o' '15.91o'],A
b9b824ba-10b3-41a5-89a3-a462bf5ae4b0-136722,1.5 m দূরে অবস্থিত পর্দায় পরস্পর থেকে 0.03 cm দূরত্বে ডোরা তৈরি হলো। কেন্দ্রীয় চরম থেকে 1 cm দূরে চতুর্থ উজ্জ্বল ডোরাটি হলো। আলোর তরঙ্গদৈর্ঘ্য নির্ণয় কর।,['2500 Å' '5000 Å' '6000 Å' '7500 Å'],B
be609c9e-7770-4966-a1a8-114858a91442-73106,কোনো বস্তুর মুক্তিবেগ বস্তুটির ভরের-,['সমানুপাতিক' 'বর্গমূলের সমানুপাতিক' 'ব্যস্তানুপাতিক' 'কোনটিই নয়'],D
fc7d5ecc-1076-4e53-a80d-5a7c38ca532f-82884,1 m দৈর্ঘ্য ও 0.1m2প্রস্থচ্ছেদের ক্ষেত্রফলবিশিষ্ট একটি ইস্পাতের তারের দৈর্ঘ্য 10% বৃদ্ধি করতে প্রযুক্ত বল কত? [Y=2×1011 N/m2],['2×109 N' '3×1011N' '2.5×1011N' '1.5×1011N'],A
085283f8-e011-408f-b76d-786307bd6bd8-141559,কোন নীতির উপর নির্ভর করে পোস্ট অফিস বক্স তৈরি করা হয়?,['জুলের সূত্র' 'হুইটস্টোন ব্রীজ নীতি' 'ও’হমের সূত্র' 'বিভব পতন পদ্ধতি'],B
2fa18272-19e8-43dd-9e84-73fc0d9c37af-29434,ক্লসিয়াস ও ম্যাক্সওয়েলের গড় মুক্তপথের সমীকরণের অনুপাত কত?,['4 : 3' '2 : 1' '`sqrt2 :1`' '`1:sqrt2`'],C
6cd80906-20a9-416c-bb40-8057c0fd17c6-127104,ɑ দৈর্ঘ্য বিশিষ্ট দুটি বর্গাকার পাত দিয়ে গঠিত ধারক যার পাত দুটির মধ্যবর্তী দূরত্ব d এবং d <<a । ধারকের সমস্ত রৈখিক মাত্রা তিনগুণ করা হলে ধারকত্ব কতগুণ পরিবর্তন হবে?,['`1/3`' '1' '3' '9'],C
fb25f058-e2bd-4d9d-88cd-54183c46aaef-47820,বাংলাদেশের সংবিধানে অনুচ্ছেদ কয়টি?,['১৫৭ টি' '৭ টি' '১৫৩ টি' '৪ টি'],C
ed78dda0-63f6-49ef-971f-a3c4f90bdd10-75213,কোনো স্থানে H = 36 μT এবং বিনতি 45° হলে ওই স্থানের ভূচৌম্বক ক্ষেত্র কত?,['40.19 μT' '50.91 μT' '60.19 μT' '70.19 μT'],B
5159899a-baf4-4501-ad45-3ddb0cbb36cb-10864,কখন এনট্রপি ধ্রুব থাকে?,['প্রত্যাগামী চক্রে' 'প্রত্যাগামী চক্রে' 'সমতাপমাএা চক্রে' 'সমচাপ চক্রে'],A
21fb07f6-dd97-4475-a0c5-e3423b49ad7d-30915,বিদ্যুৎ পরিবাহী একমাত্র অধাতু হল-,['C(diamond)' 'C(graphite)' 'P(red)' 'S'],B
700c43b9-85ce-4bb5-a44b-294f73c61fbf-105216,একটি টাওয়ারের শীর্ষের উচ্চতা ৩৭৫ মিটার। কাসেম ১০ কেজি ভরের একটি বস্তুকে শীর্ষ থেকে ফেলে দিল। ইহা বিনা বাঁধায় ভুমিতে পতিত হল। ভুমি থেকে কত উচ্চতায় বস্তুটির বিভবশক্তি এর গতিশক্তির দ্বিগুণ হবে?,['৩৫০ মিটার' '৭৫০ মিটার' '১৫০ মিটার' '২৫০ মিটার'],D
25f2fd13-f796-48a2-8ead-4da79497727d-43135,"টর্ক τ , জড়তার ভ্রামক I ও কৌণিক ত্বরণ ɑ এর মধ্যে সম্পর্ক -",['τ=I2ɑ' 'τ=√(Iɑ)' 'τ=I/ɑ' 'τ=Iɑ'],D
b03a81c9-cdd9-4463-97d0-cb1717aab27d-70577,Ge হতে p-টাইপ সেমিকন্ডাক্টর তৈরিতে ব্যবহৃত হয়-,['Ga' 'Al' 'Si' 'Both A& B'],D
0c71f650-5efb-4ab3-980c-6f41945881cb-113464,কঠিন পদার্থের মধ্যে তাপ স্থানান্তরের প্রক্রিয়াকে বলে-,['পরিচলন' 'বিকিরণ' 'পরিবহন' 'কোনটি নয়'],C
9d9f6e28-616c-4ed7-bc30-d6006b20d0ee-122244,উত্তল লেন্সে বাস্তব বস্তুর প্রতিবিম্ব -,['সর্বদা বাস্তব' 'সর্বদা অবাস্তব' 'বাস্তব বা অবাস্তব' 'কোনটিই নয়'],C
4c349663-12ab-4704-b0f5-8cb50f852dea-130456,সেমিকন্ডাকটরের ক্ষেত্রে পরিবহন ব্যান্ড ও যোজ্যতা ব্যান্ড এর মধ্যে শক্তির ব্যবধান কত?,['15eV' '100eV' '50eV' '1eV'],D
e5f8e622-1897-4961-b6a0-0c9132f20f88-136013,একটি দ্বি-পরমাণু গ্যাসের দুইটির আপেক্ষিক তাপের অনুপাত (CP/CV) হলো-,['1.29' '1.67' '1.40' '2'],C
460463a0-22dd-45f5-b41d-a03c7e02d4e7-139901,সান্দ্রতার গুণাংকের মাত্রা সমীকরণ কোনটি?,['ML-1T-1' 'MLT-2' 'M2L2T' 'কোনটিই নয়'],A
6edf892c-46aa-42c2-9bf9-0cae38b4f4e0-143966,পানি ও গ্লিসারিনের প্রতিসারঙ্ক যথাক্রমে 1.33 ও 1.47 এদের মধ্যকার সংকট কোণ হবে -,"[""60°9'"" ""69°4'"" ""64°47'"" ""60°42'""]",C
fbf8ab80-b396-408b-8284-7ed51c8dfd05-140340,নিউট্রন আবিষ্কার করেন কে? ,['থমসন ' 'প্ল্যাংক ' 'চ্যাডউইক ' 'রাদারফোর্ড '],C
97a1f5b9-1190-4dc3-b61b-b1462bd39c56-109540,নিচের কোনটি সুষমবেগের উদাহরণ?,"['অভিকর্ষের প্রভাবে মুক্তভাবে পড়ন্ত বস্তুর বেগ' 'বজ্রপাতের শব্দের বেগ'
 'ঢাকার রাস্তায় চলন্ত গাড়ির বেগ' 'কামানের গোলার বেগ']",B
5bd8a187-def5-4244-ba25-12301db60447-18003,"একটি বস্তু স্থিতিশীল অবস্থা থেকে যাত্রা শুরু করে 5s- এ 187.5 m  পথ অতিক্রম করল, বস্তুটির ত্বরণ কত?",['5 ms -2' '25 ms-2' '15 ms-2' '7.5 ms-2'],C
7882fb0d-912e-4baf-bb12-e09c931ad2d2-109428,অনুনাদ হবে যখন কোন বস্তুর নিজস্ব কম্পাঙ্ক তার উপর আরোপিত পর্যাবৃত্ত স্পন্দনের কম্পাঙ্কের-,['চেয়ে বড়ো হবে' 'চেয়ে ছোটো হবে' 'সমান হবে' 'দ্বিগুণ হবে'],C
6ae408f4-66f9-4281-a541-3d6a23aff1ef-23631,29°C তাপমাত্রায় 3gm নাইট্রোজেন গ্যাসের মোটশক্তি 403 জুল। কোন তাপমাত্রায় নাইট্রোজেন গ্যাসের মোটশক্তি 1.5 গুন হবে ?,['455K' '453K' '450K' '460 K'],B
c29c0e75-ee40-46c8-a38a-1dff5e0ac87d-125498,1.5 x 106ভরের একটি লিফট একটি ইস্পাতের তারের সাহায্যে ঝুলানো আছে। এটি ওঠার সময় সর্বোচ্চ ত্বরণ 1.2 ms-2 এবং অসহ পীড়ন 3.0 x 108 Nm-2হলে তারের সর্বনিম্ন ব্যাসার্ধ কতো?,['4.33 x 10-3 m' '4.9 x 10-3m' '3.7 x 10-3m' 'কোনোটিই নয়'],B
de2d6086-7554-47b1-b97f-f78d422a0a8c-91061,*তরলের ক্ষেত্রে পৃষ্ঠটান(T) এবং পৃষ্ঠশক্তি (E) এর মধ্যে সম্পর্ক নিম্মরুপ-,['E=4T' 'E=T/4' 'E=T/2' 'E=T'],D
470a678a-a9ab-4b04-9734-f9e08a4654d6-119527,কোনো তেজস্ক্রিয় মৌলের অর্ধায়ু ও গড় আয়ুর মধ্যে সম্পর্ক হলো-,['এরা সমানুপাতিক' 'এরা ব্যস্তানুপাতিক' 'এরা বর্গের সমানুপাতিক' 'সমান'],A
09aeabb4-bd23-4fe6-a847-b47613af447f-87271,শিশিরাঙ্কের ক্ষেত্রে কোনটি সঠিক?,['`R= F/fxx100%`' '`R=f/Fxx100%`' '`F=R/fxx100%`' '`f=R/Fxx100%`'],B
c8b3835a-a6f1-41bc-ab52-7c648f308a81-124813,"গড় বর্গবেগের বর্গমূল, গড়বেগ এবং সর্বাধিক সম্ভাব্য বেগের মধ্যে নিম্নের কোন সম্পর্কটি বিদ্যমান?",['Crms < Cav > Cm' 'Crms > Cav< Cm' 'Crms> Cav > Cm' 'Cm < Crms > Cav'],C
cbab2b7f-f1c8-4aac-8f81-a63b12fedf95-115256,"একটি সীসার খণ্ডেসুড়ঙ্গ করে তেজস্ক্রিয় পদার্থ ইউরেনিয়াম রাখা হলে, সুড়ঙ্গ পথে নির্গত তেজস্ক্রিয় রশ্মিটি-",['α-রশ্মি' 'β-রশ্মি' 'γ-রশ্মি' 'সবগুলোই'],D
0c2b96d7-58ca-4726-88a1-f43c098a3c23-6390,মহাকর্ষ কিসের উপর নির্ভর করে?,"['বস্তুদ্বয়ের প্রকৃতি' 'বস্তুদ্বয়ের অভিমুখ ' 'বস্তুদ্বয়ের আকৃতি '
 'বস্তুদ্বয়ের ভর ']",D
dd48dbcd-ccea-49c6-9292-f4cdccb6c9c4-7298,একটি পাত্রে 3 মোল নাইট্রোজেন এবং 5 মোল আর্গন 500K তাপমাত্রায় রয়েছে। গ্যাসের মিশ্রনের মোট অভ্যন্তরীন শক্তি-,['83140J' '62355J' '49884J' '16628J'],B
1954fcc7-118a-479f-826c-4c1fa6f85231-123551,নিচের কোন আলোকীয় ঘটনা মাধ্যমের পরিবর্তনের কারণে প্রভাবিত হয় না ?,['প্রতিসরণ' 'ব্যতিচার' 'সমবর্তন' 'অপবর্তন'],C
566a8f95-7228-4fa4-9f22-8c73ee73e46c-43260,"কোন বস্তু যদি অভিকর্ষের প্রভাবে কোন তরলের মধ্য দিয়ে পতিত হয়, তাহলে তা -",['স্টোকসের সূত্র' 'চার্লসের সূত্র' 'সান্দ্রতার সূত্র' 'চাপের সূত্র'],A
f746e3c7-9f92-4958-bbcf-137b0bef0235-18988,সরল দোলন গতিসম্পন্ন কোন কণার অন্তরকলন সমীকরণ 4(d2xdt2)+100x=04(d2xdt2)+100x=0 হলে কণাটির কৌণিক কম্পাঙ্ক কত হবে?,['2 rads-1' '4 rads-1' '5 rads-1' '100 rads-1'],C
c235aa83-1bd0-4b8a-86af-886f319fb47f-78378,বহু পারমাণবিক গ্যাসের ক্ষেত্রে γ এর মান কত?,['1.4' '1.67' '1.33' '1.5'],C
b33956cd-7a87-430d-ad8c-0d99f645d6a8-143370,একটি প্যারাচৌম্বক পদার্থের ক্ষেত্রে-,['μ>1 এবং k<1' 'μ<1 এবং k>1' 'μ=1 এবং k>1' 'μ>1 এবং k=1'],A
ce967477-1e13-472c-b9e4-d4ff02965b6c-138855,নিচের কোনটি সার্বজনীন গ্যাস ধ্রুবক এর একক?,['Jmol−1' 'Jk−1 mol−1' 'Jk−1mol−2' 'Jk−2 mol−1'],B
862770a6-b903-443f-b184-d3e3cda19948-20419,একটি বৈদ্যুতিক পাখা মিনিটে 600 বার ঘুরাবস্থায় বন্ধ করারপর 30 বার পাক খেয়ে থেমে গেল। পাখাটি থামতে কত সময় লেগেছিল?,['2 sec' '4 sec' '6 sec' '8 sec'],C
422df27c-9ec3-4af9-ae5e-1e059614037f-67132,কোনটি ঘর্ষণের প্রকারভেদ নয়? ,['Fixed ' 'Rolling ' 'Static ' 'Kinetic '],A
1559d9d7-2c99-41e6-b8fc-83c6c8f6efa2-117415,ঘড়ির মিনিটের কাঁটার কৌণিক বেগের মান_,['60/π rad/s' '1800/π rad/s' 'π rad/s' 'π/1800 rad/s'],D
def28552-b72f-4d69-bbe4-36a5454d16a1-49135,একটি স্ফেরোমিটারের বৃত্তাকার স্কেলের ভাগ সংখ্যা 50। বৃত্তাকার স্কেলটি একবার ঘোরালে এটি রৈখিক স্কেল বরাবর 1mm দূরত্ব অতিক্রম করে। স্ফেরোমিটারটির লঘিষ্ঠ গণন হবে -,['0.2 cm' '0.02 cm' '0.002 cm' '0.0002 cm'],C
d22c5466-b7d2-4f07-8757-91ed7bd2a7f9-47735,যেটি কৌণিক বেগের ক্ষেত্রে প্রযোজ্য নয়-,"['আবর্তন কণার দ্রুতি বাড়লে এর মান বৃদ্ধি পায় '
 'S.I পদ্ধতিতে কৌণিক বেগের একক হচ্ছে rad/sec'
 'কৌণিক বেগ একটি ভেক্টর রাশি ' 'কৌণিক বেগের মাত্রা LT-1']",D
057bc3ea-0275-42ff-8632-8c22ac8e1070-146795,বাংলাদেশের নির্বাহী বিভাগকে বিচার বিভাগ থেকে কবে পৃথক করা হয়?,['১-১০-০৭' '৩১-১০-০৭' '৩-১১-০৭' '১-১১-০৭'],D
a1f86fff-2666-47a1-997b-8bb61d4ef98c-136633,আলোর তড়িৎ চুম্বকীয় তরঙ্গ তত্ত্বের প্রবর্তক-,['ম্যাক্স প্লাঙ্ক' 'ম্যাক্সওয়েল' 'হাইগেন' 'আইস্টাইন'],B
6c566071-663b-459f-86ca-eefa95accc73-81981,4.2 J সমান নিম্নের কত ক্যালোরি?,['1' '1/2' '2' '4'],A
a348b245-4cb4-414e-8de3-9a3e177bfac6-144670,যদি→A=2ˆi+aˆj+ˆkA→=2i^+aj^+k^ এবং→B=−2ˆi+ˆj−2ˆkB→=-2i^+j^-2k^ পরস্পর লম্ব হয় তাহলে a এর মান কত?,['-4' '-6' '6' '-2'],C
00394b1e-fb0c-47eb-8bb0-e9284ee6717b-120485,ইয়ং এর দ্বি চিড় পরীক্ষায় যদি তরঙ্গদৈর্ঘ্য দ্বিগুণ করা হয় তবে পট্টির প্রস্থ β হবে-,['β/2' '2β' '3β' 'β'],B
23e62ff2-806d-45da-91bc-e6b00bdadf63-120368,কাজের অভিকর্ষীয় একক-,['Ft-lb' 'Kg-m' 'gm-cm' 'N-m'],B
06dec7a8-5d62-4280-bd2f-dc5e6881538c-108047,50Nওজনের একটি বস্তুকে6Cচার্জে চার্জিত করা হল। বস্তুটি একটি সুষম উল্লম্ব তড়িৎ ক্ষেত্রে রাখা হলে সেটি স্থির অবস্থায় থাকলে তড়িৎ প্রাবল্য কত?,['300 NC−1' '0.85 NC−1' '12.33 Vm−1' '8.33 Vm−1'],D
07f32329-5042-4894-bd32-eb30b39bc90a-56709,ইয়ং এর দ্বিচির পরীক্ষায় চির দুটির মধ্যবর্তী দূরত্ব d=2mm। চির থেকে পর্দার দূরত্ব D=104 mm ডোরের প্রস্থ x=0.3mm।,['5.9×10-7m' '1.2×10-7m' '5.9×10-7mm' '1.5×10-7mm'],B
8f450828-dee7-4f22-8e66-d6c5c22cce5c-74560,20 পাক ও 3 cm ব্যাসার্ধ বিশিষ্ট একটি বৃত্তাকার কুণ্ডলীতে 6 A বিদ্যুৎ প্রবাহিত হলে চুম্বক ভ্রামকের মান-,"['`20 × 6 × 3 × 10^-4`' '`20 × 6 × 3.14 × 9× 10^-4`'
 '`20 × 6 × 3.14 ×3 × 10^-4`' '`20 × 6 × 9 × 10^-4`']",B
4b689451-aabe-43f9-9b10-22de7640e32b-132612,বায়োট-স্যাভার্ট সূত্রটি নিচের কোন সমীকরণ দ্বারা প্রকাশ করা হয়?,"['dB= μ.|d|.r2/4πr2' 'dB= μ.|d|.rsin/4πr2' 'dB= μ.|d|.r2/4πr2'
 'dB= μ.|d|/4πr2']",B
1262c0f5-1697-4f8d-8561-ffa746dde9a8-121898,নিচের কোনটি সংরক্ষণশীল বলের উদাহরণ নয়?,['আদর্শ স্প্রিং এর বল' 'ঘর্ষণ বল' 'অভিকর্ষীয় বল' 'বৈদ্যুতিক বল'],B
c9e720d5-8c47-4e0c-bd2c-1e5102bdba7c-129634,জড়তার সূত্র কোনটি?,"['নিউটনের প্রথম গতি সূত্র' 'নিউটনের তৃতীয় গতিসূত্র' 'গ্যালিলিও এর সূত্র'
 'কোনটিই নয়']",A
404773b3-7d2d-4cb1-96a1-ab0935e91a91-49355,অর্ধপরিবাহীর শক্তি ব্যবধান-,['2.5eV' '1eV' '3eV' '7eV'],B
c854a432-589f-4c54-b8d7-de7f0d62cab9-45619,10 gm ভারের একটি গোলক 1.2 m উঁচু ঢালু তক্তা বেয়ে বের হওয়ার সময় বেগ ছিল 4 m/s। ঘর্ষণজনিত কাজের পরিমাণ কত ? ,['0.0376 J' '0.197J' '0.1176 J' '0.98 J'],A
0475542f-a282-4bb9-a586-a7120baa92d9-1686,একটি তাপ ইঞ্জিনের কার‌্যকর পদার্থ 600K তাপমাত্রার উৎস থেকে 1200J তাপ গ্রহণ করে এবং 300K তাপমাত্রার গ্রাহকে 600J তাপ বর্জন করে। তাপ ইঞ্জনটি নিচের কোনটি?,['প্রত্যাগামী' 'অপ্রত্যাগামী' 'A ও B উভয়ই' 'কোনোটিই নয়'],A
56931fb7-e0e9-4d11-8125-7403eb9c329b-62244,B মানের একটি সুষম চৌম্বকক্ষেত্রের চৌম্বক বল রেখার সমান্তরালে অপরিবর্তনীয় বেগ v-তে চলমান একটি চার্জ e-এর ওপর ক্রিয়াশীল বল হলো—,['Bev' '0' 'eV/B' 'e/Bv'],B
e57ed5e0-287c-4c83-bde6-3b213dc73cef-3378,ভূ-স্থির উপগ্রহের প্রদক্ষিণ বেগ কত?,['22.4 kms−1' '11.3 kms−1' '3.08 kms−1' '7.9 kms−1'],C
ba515e9c-eb16-4f5d-8cf8-c2c63578e66e-94145,একটি রকেট কত দ্রুতিতে চললে এর দৈর্ঘ্য আদি দৈর্ঘ্যের এক-চতুর্থাংশ হবে?,['3 × 108 ms-1 ' '2.99× 108 ms-1' '2.92× 108 ms-1' '2.90× 108 ms-1'],D
734fe4ed-63b0-4e7c-9abf-fb67683b94b2-123520,নিম্নের কোনটি লেজারের জন্য সথিক?,"['লেজার এক বর্ণের আলো' 'রুবি থেকে তৈরি লেজার নীলচে সবুজ হয়'
 'ক্রিপ্টন লেজারের রং লাল' 'আলোক সজ্জায় লেজার ব্যবহার হয়']",A
b282964f-b76f-4dad-9b7e-4650aac49ee3-73017,আয়তন গুনাঙ্কের বিপরীত রাশি কেনটি?,['পয়সনের অনুপাত' 'সংনম্যতা' 'ইয়ং গুণাঙ্ক' 'দৃঢ়তার গুনাঙ্ক'],B
ae6c9274-9b23-4e5f-bc96-416fc372605b-955,কোন বস্তুর অবস্থান y কে সময় t এর অপেক্ষকরূপে প্রকাশের সমীকরণ হল y = 2 + 10t + 4t2 । বস্তুটির ত্বরণ কত ?,['18 ms-2' '16 ms-2' '8ms-2' '2ms-2'],C
d241cd25-3fdd-4e58-82ad-f3d734e48e45-47951,100 পাপ বিশিষ্ট কোন কোয়েলের ভেতর দিয়ে 2.5A তড়িৎ প্রবাহিত হয়ে 0.5×10−30.5×10-3 ওয়েবার ফ্লাক্স উৎপন্ন করে। কোয়েলের স্বকীয় আবেশের গুণাঙ্ক কত?,['0.02Hz' '0.2Hz' '1Hz' '2Hz'],B
348e92dd-a3d9-42b3-baff-adcc832d8c73-107919,"ভূ-পৃষ্ঠের কত গভীরে অভিকর্ষজ ত্বরণের মান ভূ-পৃষ্ঠের মানের এক-চতুর্থাংশ হবে ? (পৃথিবীর ব্যাসার্ধ, R= 6.4 x 103 km)",['8.4 x 103 km' '4.8 x 103 km' '4.0 x 103 km' '5.2 x 103 km'],B
c2da4166-d649-4815-9115-f7e14ba926da-97391,একটি গতিশীল কণার কোন সরলরেখায় t সময়ে অতিক্রান্ত দূরত্ব s = 63t - 6t2 - t3 দ্বারা প্রকাশিত হয়,"['37 ফু/সে, 118 ফুট' '27 ফু/সে, 78 ফুট' '17 ফু/সে, 108 ফুট'
 '27 ফু/সে, 108 ফুট']",D
fff9ae7f-8ac0-4645-be70-088807eee8dc-94204,স্থির তড়িৎ বলের বৈশিষ্ট্য নয় নিচের কোনটি? ,"['মাধ্যমের উপর নির্ভরশীল ' 'দুর্বল বল ' 'সংরক্ষণশীল বল '
 'কৃতকাজ পথের উপর নির্ভরশীল নয়']",C
5d71df3e-bc95-4f57-bedd-1229e5f453f5-79152,ভর সংখ্যা A বাড়লে নিউক্লিয়াসে নিউক্লিয়ন প্রতি বন্ধন শক্তি -,"['বাড়বে' 'কমবে' 'একই থাকবে'
 'A এর আসল মানের উপর নির্ভরশীল চলক অনুযায়ী ভিন্ন হবে']",D
7d0afdbb-fc25-473c-9cde-b09e2256af94-40541,"একটি সুষম তড়িৎ ক্ষেত্রে 50 cm ব্যবধানে অবস্থিত দুটি বিন্দুর বিভব পার্থক্য 200V হলে, তড়িৎ ক্ষেত্রের প্রাবল্য কত?",['200Vm⁻¹' '300Vm⁻¹' '400Vm⁻¹' '500Vm⁻¹'],C
192e2459-ba9a-4c5b-9f5c-2adaa4691460-97817,উত্তল দর্পন হতে অসীম দূরত্বে একটি বস্তু স্থাপন করা হলো। বস্তুটির প্রতিবিম্ব সৃষ্টি হবে-,['অসীমে' 'f অবস্থানে' 'f/2 অবস্থানে' '2f অবস্থানে'],B
02f2533a-b3db-4ca1-b535-1860b238d97e-72319,সরল দোলকের গতিসম্পন্ন কোনো কণার অন্তরক সমীকরণ হচ্ছে,['0.950 s' '1.05 s' '37.68 s' '0.52 s'],B
d3d16d7a-a5a8-4407-8f39-70444422b422-130034,"একটি সুরশলাকা 2.5 m দীর্ঘ তরঙ্গদৈর্ঘ্য তৈরি করতে পারে। যদি ঐ তরঙ্গের বেগ 340 ms-1 হয়, তবে সুরশলাকার কম্পাঙ্ক কত?",['316Hz' '613Hz' '631Hz' '136Hz'],D
81e02548-929e-402a-aac0-8eb5d52140a0-116137,SI পদ্ধতিতে শক্তির একক-,['নিউটন' 'ওয়াট' 'জুল' 'ভোল্ট'],C
43bf1d27-5fd1-4117-b02d-c855dbb3a731-7018,10N মানের একটি বল অন্য একটি অজানা বলের সাথে 120° কোণে আনত।বল দুইটির লব্ধি অজানা বলের সাথে 90° কোণে অবস্থিত। অজানা বলটির মান-,['8N' '7N' '6N' '5N'],D
e97c1c33-e1eb-402d-9ba8-c5a7919fdd37-40877,ভোল্টমিটারের পাল্লা বৃদ্ধিতে রোধ যুক্ত করা হয় -,['সমান্তরালে' 'অনুক্রমে' 'উভয়' 'কোনোটাই নয়'],B
c8ebbe13-53eb-4c81-845d-39e6734bc5b5-134620,একটি বস্তুর জড়তার ভ্রামক 10 kgm2 | কত মানের টর্ক প্রয়োগ করলে বস্তুটিতে 10 rads−2 মানের কৌণিক ত্বরণ সৃষ্টি হবে?,['100 Nm' '200 Nm' '10 Nm' '20 Nm'],A
2020c396-e6a3-4e79-9d4d-e0628f8aa4ab-144118,pn- জংশনের নিঃশেষিত অঞ্চলে থাকে-,"['ইলেক্ট্রন ও হোল' 'ইলেক্ট্রন ও + ve আয়ন' 'হোল ও - ve আয়ন'
 '+ ve আয়ন ও - ve আয়ন']",D
9e4f1838-ae03-4a73-9c24-09229a97bfc2-21860,Resistivity এর এককের ক্ষেত্রে কোনটি সঠিক?,['Ω' 'Ω−1' 'Ω−m' 'Ωm−1'],C
bfd49fd6-75dd-4efe-8b2d-ccbbbb7f5d20-129357,NaCl ক্রিস্টালে কোন বন্ধন থাকে?,['আয়নিক' 'সমযোজী' 'ধাতব' 'হাইড্রোজেন'],A
7d0d72e1-73b4-4250-9119-64e790db1ff0-70617,একটি আলোক রশ্মি পটাশিয়ামের ওপর পতিত হওয়ায় তা থেকে 1.6 eV এর সর্বাধিক শক্তির ফটোইলেকট্রন নির্গত হলো। আপতিত আলোক রশ্মির তরঙ্গদৈর্ঘ্য কত? পটাশিয়ামের কার্যাপেক্ষক 2.2 eV।,['326.944 Å' '0.25 Å' '9.425 Å' '942.56 Å'],A
31dd7398-506c-46e0-83e2-7518506fe6ea-56784,নিচের কোনটি পোলার ভেক্টর?,['কৌণিক ত্বরণ' 'কৌণিক বেগ' 'ভরবেগ' 'কাজ'],C
3eec059c-e052-4885-b0a1-c124062c5e8e-52380,"একটি গ্রহে মুক্তিবেগ পৃথিবীতে মুক্তিবেগের অর্ধেক, এবং উহার ব্যাসার্ধও পৃথিবীর অর্ধেক। ঐ গ্রহে g এর মান কত m/s2?",['4.9' '9.8' '14.7' '19.6'],A
d11ab532-69fe-458c-acd5-8e80ef6c11ef-115351,80 cm লম্বা একজন বালক তার পুরা দৈর্ঘ্য একটি আয়নাতে দেখতে চাইলে আয়নার দৈর্ঘ্য কমপক্ষে কত হতে হবে ? ,['40 cm' '50 cm' '60 cm' '100 cm'],A
e6117486-ca7c-4a01-92a6-74fd4166d28b-64757,বলের ঘাতের মাত্রা হলো-,['MLT-2' 'MLT-1' 'ML-1T-1' 'ML-1T-2'],B
029a560a-10ce-430f-9b29-5fcf44e9f87e-23871,দুটি ভেক্টর রাশির প্রত্যেকটির মান 10 একক। উহার একই বিন্দুতে পরস্পর 120° কোণে ক্রিয়া করলে লব্ধির মান ও দিক কত হবে ?,['10 একক ও 30°' '20 একক ও 60°' '10 একক ও 60°' '20 একক ও 30°'],C
fcc29831-3167-4fb1-b1ae-9c35f1c09cf4-55225,পৃথিবী ও চাঁদের পৃষ্ঠে অভিকর্ষীয় ত্বরনের অনুপাত কত?,['81:4' '81:6' '81:10' '81:16'],D
0cc87c30-1c57-421e-938c-c00fd73641e4-33737,তরলের পৃষ্ঠটান এর প্রভাব নেই কোনটির?,['অজৈব দূষকের উপস্থিতি' 'পাত্রের আয়তন' 'পাত্রের ভর' 'পাত্রের আকৃতি'],D
ebbb6aa5-4e0c-459a-af6e-62624ce8358c-79925,নিম্নের কোন সমীকরণটি তাপগতিবিদ্যার জন্য সঠিক?,['dQ = W' 'Cp- Cv= ধ্রুবক' 'TVγ-1= ধ্রুবক' 'PVγ= R'],C
